Humedad,Control,Temp_s,Temp_op
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
5,30,0,30
19,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
25,30,0,30
16,30,0,30
14,30,0,30
14,30,0,30
14,30,0,30
14,30,0,30
14,30,0,30
14,30,0,30
14,30,0,30
14,30,0,30
16,30,0,30
18,30,0,30
18,30,0,30
18,30,0,30
18,30,0,30
18,30,0,30
18,30,0,30
18,30,0,30
18,30,0,30
