Eje X,Eje Y,Eje Z
34,-26,69
150,-27,-27
-43,-39,-84
-108,-15,27
13,-30,83
118,-19,-11
-25,-19,-87
-113,-7,19
-7,-24,74
122,-29,4
-4,-18,-93
-105,-5,-4
-25,-37,48
100,-19,31
50,-18,-80
-91,-6,-23
-80,-22,48
65,-126,69
109,0,-73
-77,18,-69
-96,-24,39
29,-28,75
148,-33,-21
-46,-53,-99
-98,-8,15
-6,-32,70
112,-5,27
15,-40,-85
-110,0,-29
-81,-46,62
104,-32,68
87,-1,-95
-87,11,-48
-92,-24,43
86,44,115
137,0,-42
-53,-21,-94
-103,-36,16
48,-62,79
120,-32,-64
-61,-20,-60
-95,-19,36
14,-33,79
146,-12,-28
-45,-21,-69
-96,-7,7
-15,-31,63
120,-8,14
-2,-33,-90
-100,2,-11
-40,-23,69
76,-25,48
77,-2,-86
-76,0,-33
-74,-3,37
50,-6,76
135,-44,-60
-84,-5,-52
-94,-23,30
44,-21,74
149,-105,-74
-86,8,-51
-85,-10,31
19,-38,69
113,-27,8
5,-8,-93
-98,-17,-11
-45,-39,56
118,14,28
49,65,-102
-108,21,-21
-60,-16,49
82,-35,83
76,-42,-101
-99,15,-56
-83,-32,34
56,-44,77
162,56,-82
-69,-24,-55
-101,-21,27
4,-28,82
157,-90,-34
-48,-35,-75
-111,-3,12
2,-55,90
155,-59,-17
-32,-39,-91
-127,-7,1
-32,-51,71
128,-35,9
17,-35,-100
-109,-8,1
-41,-24,53
100,-6,37
58,-7,-96
-90,-18,-27
-64,-49,35
95,-10,83
52,0,-101
-93,15,-27
-72,-36,33
137,-5,63
83,-13,-118
-105,2,-33
-60,-39,35
90,-40,61
40,13,-102
-108,8,-6
-59,-23,55
119,-28,58
14,-33,-96
-112,0,-29
-31,-49,64
137,-40,38
-2,-3,-91
-98,3,-8
-41,-37,51
112,39,2
0,-20,-77
-119,-28,0
-19,-42,76
165,-78,-1
-21,-13,-87
-98,-11,3
-14,-42,49
135,-20,3
-10,-4,-87
-117,-39,-11
0,-92,82
142,-14,-33
-63,-21,-70
-115,7,25
9,-40,77
138,-13,-34
-22,-27,-88
-118,-26,5
-27,-44,81
140,-62,22
39,25,-83
-102,5,-26
-34,-30,60
109,-19,6
13,-29,-92
-103,-11,-3
-2,-29,59
139,-23,11
-22,-25,-87
-111,-31,19
-8,-108,53
137,-11,-41
-31,-7,-78
-89,-3,19
-11,-30,56
115,7,24
22,-36,-98
-100,3,-17
-74,-21,62
92,-37,80
103,-11,-84
-79,-22,-56
-82,-12,44
75,-27,60
119,1,-48
-83,-16,-62
-106,-13,32
29,-59,76
150,4,-33
-24,-41,-90
-116,-7,31
2,-48,68
132,56,-1
27,-22,-102
-92,-25,-4
-55,-40,55
90,14,33
47,-1,-85
-105,-10,-29
-50,-59,46
101,-11,38
40,0,-83
-84,-6,-28
-51,-43,50
99,-31,50
64,33,-89
-94,-5,-20
-61,-34,51
88,-11,40
90,11,-80
-70,-9,-46
-87,-31,40
52,-33,75
111,3,-42
-43,-21,-75
-84,-34,23
15,-57,80
107,-3,-25
-34,-28,-74
-97,-20,17
-7,-29,66
85,17,32
46,-2,-83
-69,-3,-32
-77,-17,43
31,-34,72
112,5,-44
-40,-31,-88
-104,-14,11
-19,-59,66
108,1,23
20,-13,-85
-87,-18,-10
-41,-27,62
87,-12,41
78,2,-98
-87,-14,-31
-81,-24,52
79,-16,52
